college_id,name,state,city,stream,avg_fees_lpa,cutoff_percentile,reputation_score,placement_rate,avg_salary_lpa,internship_rate,higher_studies_rate,industry_exposure,specializations,career_outcomes
C001,IIT Bombay,Maharashtra,Mumbai,Science,3.5,99,100,95,18.5,92,30,96,"Computer Science,Data Science,Electrical Engineering,Mechanical Engineering","Software Engineer,Data Scientist,ML Engineer,Research Scientist"
C002,IIT Delhi,Delhi,Delhi,Science,3.2,99,99,94,17.8,90,32,95,"Computer Science,Electrical Engineering,Chemical Engineering","Software Engineer,Research Scientist,Hardware Engineer"
C003,IIT Madras,Tamil Nadu,Chennai,Science,3.0,98,98,93,16.5,88,35,94,"Aerospace,Computer Science,Biotechnology","Aerospace Engineer,Software Developer,Researcher"
C004,IIT Kharagpur,West Bengal,Kharagpur,Science,2.8,97,97,91,15.2,85,28,90,"Civil Engineering,Mining,Mechanical Engineering,CSE","Civil Engineer,Software Engineer,Geologist"
C005,BITS Pilani,Rajasthan,Pilani,Science,5.2,95,93,90,14.0,88,22,88,"Computer Science,Electronics,Pharmacy,Economics","Software Developer,Analyst,Pharmacist"
C006,NIT Trichy,Tamil Nadu,Trichy,Science,1.5,90,88,85,10.5,75,20,80,"Mechanical,Civil,CSE,Electronics","Engineer,Software Developer"
C007,NIT Surathkal,Karnataka,Mangalore,Science,1.4,88,86,83,9.8,72,18,78,"Chemical,Mechanical,CSE","Process Engineer,Developer"
C008,Delhi University,Delhi,Delhi,Arts,0.5,75,82,70,6.5,55,40,65,"History,Political Science,Literature,Sociology","Civil Services,Journalism,Academic"
C009,Jadavpur University,West Bengal,Kolkata,Science,0.8,85,84,80,9.0,68,25,75,"Engineering,Science,Arts","Engineer,Scientist,Teacher"
C010,Anna University,Tamil Nadu,Chennai,Science,1.0,82,80,78,8.5,65,22,72,"Mechanical,Civil,CSE,Biotech","Engineer,Developer,Researcher"
C011,IIM Ahmedabad,Gujarat,Ahmedabad,Commerce,12.0,99,100,100,26.0,95,12,98,"MBA,Finance,Marketing,HR","Management Consultant,CFO,CEO,Analyst"
C012,IIM Bangalore,Karnataka,Bangalore,Commerce,11.5,99,99,99,24.5,93,14,97,"MBA,Strategy,Operations","Management Consultant,Banker,Strategist"
C013,IIM Calcutta,West Bengal,Kolkata,Commerce,11.0,98,98,98,23.0,90,15,96,"MBA,Finance,Analytics","Finance Manager,Investment Banker,Analyst"
C014,XLRI Jamshedpur,Jharkhand,Jamshedpur,Commerce,8.5,95,90,95,18.0,85,10,88,"MBA,HRM,Business Management","HR Manager,Business Analyst,Consultant"
C015,SP Jain Mumbai,Maharashtra,Mumbai,Commerce,7.0,88,84,88,14.5,78,8,82,"PGDM,Finance,Marketing","Brand Manager,Financial Analyst"
C016,AIIMS Delhi,Delhi,Delhi,Science,0.1,99,100,100,22.0,85,45,95,"MBBS,MD,MS,PhD","Doctor,Surgeon,Researcher,Medical Scientist"
C017,MAHE Manipal,Karnataka,Manipal,Science,6.0,75,80,82,8.5,70,30,72,"MBBS,Pharmacy,Engineering,Architecture","Doctor,Pharmacist,Architect"
C018,Amity University,Uttar Pradesh,Noida,Science,3.5,65,68,72,6.0,60,18,65,"Engineering,Business,Law,Design","Engineer,Manager,Lawyer"
C019,Christ University,Karnataka,Bangalore,Commerce,2.0,70,72,75,7.0,62,22,68,"BBA,Commerce,Arts,Science","Accountant,Marketer,Analyst"
C020,Symbiosis Pune,Maharashtra,Pune,Commerce,4.5,78,76,80,9.5,70,16,74,"MBA,Law,Media,Design","Consultant,Lawyer,Designer"
C021,LSR Delhi,Delhi,Delhi,Arts,0.6,88,86,68,6.0,48,42,60,"Economics,English,History,Psychology","Civil Services,Academic,Journalist"
C022,St. Stephens Delhi,Delhi,Delhi,Arts,0.5,85,83,65,5.5,45,45,55,"Economics,History,Mathematics","Civil Services,Academic,Banker"
C023,Miranda House Delhi,Delhi,Delhi,Arts,0.4,84,81,63,5.2,42,44,52,"English,Psychology,Political Science","Teacher,Journalist,Civil Services"
C024,Presidency University Kolkata,West Bengal,Kolkata,Arts,0.3,80,78,60,5.0,40,48,50,"Physics,Chemistry,Mathematics,Economics","Academic,Researcher,Civil Services"
C025,Fergusson College Pune,Maharashtra,Pune,Arts,0.5,75,74,65,5.5,45,38,55,"Arts,Science,Commerce","Teacher,Civil Services,Journalist"
C026,IIT Hyderabad,Telangana,Hyderabad,Science,2.9,96,92,88,13.5,82,26,86,"CSE,Electrical,Chemical,Design","Software Engineer,Designer,Researcher"
C027,VIT Vellore,Tamil Nadu,Vellore,Science,2.2,72,75,80,8.0,68,15,70,"Engineering,Sciences,Business","Developer,Engineer,Manager"
C028,SRM University,Tamil Nadu,Chennai,Science,3.0,68,70,75,7.0,62,12,65,"Engineering,Medicine,Management","Engineer,Doctor,Manager"
C029,Thapar University,Punjab,Patiala,Science,3.2,80,78,82,9.0,72,18,74,"Engineering,Sciences","Engineer,Developer"
C030,PSG College of Technology,Tamil Nadu,Coimbatore,Science,1.2,78,76,78,8.0,65,16,70,"Mechanical,CSE,Electronics","Engineer,Developer"
C031,IIIT Hyderabad,Telangana,Hyderabad,Science,3.8,94,90,88,14.0,85,28,88,"CSE,ECE,Computational Linguistics","ML Engineer,Software Developer,NLP Researcher"
C032,IIIT Bangalore,Karnataka,Bangalore,Science,4.5,92,88,86,13.0,82,25,86,"CSE,ECE,Data Science","Software Engineer,Data Scientist"
C033,NIFT Delhi,Delhi,Delhi,Arts,2.5,82,80,78,7.5,65,15,72,"Fashion Design,Textile,FMS","Fashion Designer,Brand Manager,Stylist"
C034,NID Ahmedabad,Gujarat,Ahmedabad,Arts,3.0,85,85,80,8.5,70,18,78,"Industrial Design,Communication,Textile","Product Designer,UX Designer"
C035,Ashoka University,Haryana,Sonipat,Arts,5.5,80,82,72,7.0,55,42,70,"Liberal Arts,Economics,Psychology,CS","Civil Services,Consultant,Academic,Researcher"
